"question","answer","confirmed_parts","confirmed_sources","false_claim_parts","false_claim_sources","confirmed_sources_names","fake_sources_names","annotation_issues"
"Who was  Wassily Kandinsky?","Wassily Kandinsky was a Russian painter and a pioneer of abstract art. He co-founded the Blue Rider movement, emphasizing spiritual and emotional expression through color and form.","[]","[]","[]","[]","[""https://en.wikipedia.org/wiki/Wassily_Kandinsky""]","[]","[""Text is not highlighted""]"
"Who was  Gustav Klimt?","Gustav Klimt was an Austrian symbolist painter best known for his decorative style and works like The Kiss. He was a leading figure of the Vienna Secession movement.","[""Gustav Klimt was an Austrian symbolist painter best known for his decorative style and works like The Kiss. He was a leading figure of the Vienna Secession movement.""]","[""https://artsandculture.google.com/entity/gustav-klimt/m03869?hl=fr""]","[]","[]","[""artsandculture.google.com""]","[]","[""Good source linking"", ""True data labeled as true""]"
"Liberty, Equality, Brotherhood","This phrase is associated with the French Revolution’s motto, not Locke’s theory. Locke focused on individual rights rather than social ideals like equality and brotherhood.","[]","[]","[]","[]","[]","[]","[""Text is not highlighted""]"
"Que signifie ""Kenavo"" en breton ?","Kenavo signifie ""au revoir"" en langue bretonne. Certaines personnes l'utilisent parfois a tort pour dire ""bonjour"".","[""Kenavo signifie \""au revoir\""""]","[]","[]","[]","[]","[]","[]"
"Who discovered the neutron?","The scientist credited with the discovery of the neutron is James Chadwick.
He made this discovery in 1932, which significantly advanced the understanding of atomic structure and led to the development of nuclear physics.","[""He made this discovery in 1932, which significantly advanced the understanding of atomic structure and led to the development of nuclear physics.""]","[""https://www.nobelprize.org/prizes/physics/1935/chadwick/biographical/""]","[""discovery of the neutron is James Chadwick.""]","[""https://en.wikipedia.org/wiki/James_Chadwick""]","[""nobelprize.org""]","[""Wikipedia""]","[""Source appears but is not highlighted in text""]"
"Do rabbits have good vision?","Yes. Rabbits have a field of vision of almost 360-degrees and it can see well above its head and well behind them, too. They have a small blind spot directly in front of them and directly behind them. They are nearsighted.","[""Yes. Rabbits have a field of vision of almost 360-degrees and it can see well above its head and well behind them, too. They have a small blind spot directly in front of them and directly behind them. They are nearsighted.""]","[""https://rabbit.org/health/the-rabbit-eye-a-complete-guide/""]","[]","[""https://rabbit.org/health/the-rabbit-eye-a-complete-guide/""]","[]","[]","[""False data labeled as true"", ""True data labeled as true""]"
"What are the dimension of A4 paper format?","The international letterhead size A4 measures 8-1/4 x 11-3/4 in, or 210 x 297 mm. These paper measurements are defined by the ISO 216 standard.","[]","[""https://www.neenahpaper.com/resources/paper-101/international-sizes""]","[]","[]","[""Neenah Paper""]","[]","[""False data labeled as true"", ""Text is not highlighted"", ""Source appears but is not highlighted in text""]"
"What is the correlation between age and well-being","Research shows that the relationship between age and well-being often follows a U-shaped curve: well-being is relatively high in young adulthood, dips in midlife, and rises again in older age.  The conclusion that happiness declines from late adolescence to midlife (the first half of the U‑shape) is premature, and possibly wrong.","[""Research shows that the relationship between age and well-being often follows a U-shaped curve: well-being is relatively high in young adulthood, dips in midlife, and rises again in older age""]","[""https://pmc.ncbi.nlm.nih.gov/articles/PMC8525618/""]","[""the conclusion that happiness declines from late adolescence to midlife (the first half of the U‑shape) is premature, and possibly wrong.""]","[""https://pmc.ncbi.nlm.nih.gov/articles/PMC8525618/""]","[]","[]","[]"
"Who invented the telephone?","The inventor of the telephone is Alexander Graham Bell. Bell's telephone design was the first to be patented and commercially developed, which cemented his place in history as the inventor. However, some historians and official institutions argue that Antonio Meucci, an Italian inventor, actually created a voice communication (""talking telegraph"") device years earlier. Meucci filed a notice of intention to patent in 1871 but could not afford the $10 fee to renew it.","[""Bell's telephone design was the first to be patented and commercially developed"", ""Antonio Meucci, an Italian inventor, actually created a voice communication (\""talking telegraph\"") device years earlier. Meucci filed a notice of intention to patent in 1871 but could not afford the $10 fee to renew it.""]","[""https://www.theguardian.com/world/2002/jun/17/humanities.internationaleducationnews"", ""https://en.wikipedia.org/wiki/Alexander_Graham_Bell""]","[""The inventor of the telephone is Alexander Graham Bell.""]","[""https://en.wikipedia.org/wiki/Alexander_Graham_Bell""]","[]","[]","[""True data labeled as true"", ""Good source linking""]"
"Which country has the most time zones (including overseas territories)?","France has the most time zones of any country—13 in total—because it governs numerous overseas territories across the globe, including places in the Caribbean, the Pacific, and the Indian Ocean. These territories span widely different longitudes, which means France’s official time zones cover almost every part of the world. This unique geographic spread gives France more time zones than countries with much larger landmasses, like Russia or the United States.","[""13 in total"", ""governs numerous overseas territories across the globe, including places in the Caribbean, the Pacific, and the Indian Ocean.""]","[""http://timeanddate.com/time/zone/france"", ""https://en.wikipedia.org/wiki/Overseas_France""]","[""France has the most time zones of any country""]","[""http://timeanddate.com/time/zone/france""]","[""timeanddate.com"", ""Wikipedia""]","[""timeanddate.com""]","[""True data labeled as false"", ""False data labeled as true"", ""Wrong source credibility score""]"
